text,finance
we are a generation of maximizers and its both a blessing and a curse sure we can identify what we like online on our phones and in store but liking a product simply isnt enough to make us buy it,0.0
napoleons definition of a military genius was the man who can do the average thing when all those around him are going crazy rich people are similar they remain normal when everyone else cant,0.0
remember market corrections are a part of investing like it or not stick with your plan,0.0
no matter where or how our children are getting their financial education heres something that i know for sure parents are hungry to teach their kids the basics of personal finance,0.0
according to a january 2014 schwab money myths survey no matter how savvy we think we are there are still a lot of financial misconceptions floating around out there and surprisingly a number of those misconceptions arent about esoteric investing theories theyre about everyday financial situations,0.0
as with weddings and vacations spending on prom can easily spiral out of control especially if your teenager isnt used to sticking to a budget use this as a learning experience by getting your kid involved making tough decisions helping to prioritize expenses from vital to nonessential,0.0
5 ignoring debt,0.0
there seems to be a general belief around this time of the year that if youre getting a refund then you should spend it on something fun all the ads urging us to go out and splurge certainly seem to think so but is that really the case,0.0
decide how you are going to spend your time what are you going to do during the first six to twelve months in retirement and what do you plan to do for the rest of your retired life,0.0
the first income tax day in us history was on march 1 1914 four years later congress passed the revenue act which moved tax day forward by two weeks to march 15 where it remained in effect until 1955 why the change to april 15,0.0
while time is ticking for you to complete your taxes dont get so caught up trying to file that you make a mistake,0.0
even as the currencys potential suffered a blow following the collapse of mt gox some early adopters in the travel and sports industries are still bullish about the value of this new way of doing business,0.0
once you determine how your current expenses are going to change during your retirement years you can start to understand how much youll really need to save,0.0
we are in a dangerous time in the stock market its not a dangerous time because of a crisis or volatility its dangerous time because investors start to become overconfident,0.0
abraham lincoln once said you cannot escape the responsibility of tomorrow by evading it today following these tips can help you conquer the panic today of tomorrows taxfiling responsibility while simultaneously building your nest egg and driving increased retirement readiness,0.0
theres just something about doing our taxes that makes many of us revert to slacker college student mode waiting till the last minute to throw together that report weve known about for months but there is hope,0.0
the earlier you begin saving money and the earlier you begin managing debt the more likely you will be able to react to the challenges and opportunities that lie ahead,0.0
will the amount paid in taxes and fees push you over a spending threshold and into a higher rewards bracket will the extra,0.0
the fact that people learn more about finances at home than from any other source is a testament to the importance of families but it is also a responsibility,0.0
with tax day fast approaching millions of americans are scrambling to track down receipts bank statements and other documents but the more you rush the more youre likely to make mistakes that can cost you in the form of penalties a delayed refund and even a higher risk of an audit,0.0
sometimes investors will confuse recent successes and tend to be more aggressive it can give you a false sense of investment prowess then things turn south and you pay for it so how does a poor investor figure out their risk tolerance,0.0
shirley pulawski is a freelance journalist who frequently contributes to mybanktrackercom even if you convert a credit,0.0
its pretty simple if you dont pay your taxes the irs can file a notice of federal tax lien with the credit bureaus and thats a huge negative on your credit reports,0.0
having a plan to pay off debt is one thing setting that plan into motion is a whole different ballgame arguably the best approach to getting out of debt is called the debt snowball,0.0
the real power is in your hands now its up to you to step up to the plate and do something about your personal savings,0.0
no investment method is foolproof if anyone tells you otherwise hold onto your wallet taking the right precautions however keeps risk to a minimum,0.0
so what happens if or when you become a victim of tax identity theft if you know for certain that your identity has been compromised the irs has a form for that but if youve already lost your tax refund to an identity thief their reporting mechanism may not be enough to resolve your existing case,0.0
make these five money moves and reinvigorate yourself for the spring season we all need it after harsh weather of this past,0.0
when it comes to making money decisions doubt and selfdoubt are inevitable after all unlike many choices that are subject to whimsy and fate financial decisions can be judged by their direct impact on your wellbeing now and in the future,0.0
like it or not april 15 is going to be here before you know it if you havent started working on your taxes yet you might,0.0
insurers may warm to ecigarettes in the coming years but for now most of them will still think of you as a smoker even if you dont in todays world of semiprivacy it might be harder than you think to hide evidence of this should an insurer decide to look more closely,0.0
many by40 milestones have become debatable get married only if you really want to own a home if its financially feasible but theres one thing thats nonnegotiable by age 40 you cant get away with being financially clueless anymore,0.0
whether youre 10 and saving for a new bike or 60 and knocking on the door of retirement its never too late or too early to get your ducks in a row,0.0
social security works  it does what it was designed to do and although this was not the concern when it was set up it actually boosts the national output above what it distributes it is a winwinwin,0.0
anyone who wants to cover the cost of living during her golden years should be thinking about iras or individual retirement accounts just as much as shes nursing her employersponsored 401ks,0.0
with tax season upon us taxpayers are not the only ones preparing for tax filing day the internal revenue service warns consumers that there are sophisticated scams targeting taxpayers throughout the country,0.0
collecting points bonuses and other rewards by using a rewards credit card can be exciting fun and addicting however,0.0
the reason despite all the regulations in the dodd frank financial reform and the volcker rule and the feds oversight,0.0
youre probably watching obvious items like your credit cards and making payments on time but there might be some forgotten items causing problems with your credit and dragging down your score,0.0
walmart should serve frugal shoppers well in the absence of an aldi the items in cheapisms shopping cart which included,0.0
bitcoin transactions unlike credit card purchases are irreversible if you buy merchandise with bitcoins and the merchant fails to deliver that money is now securely in his hands there will be no third party company to go to bat for you,0.0
when it comes to debt there really are no free lunches indeed it is always harder to get out of than it is to get into the best thing you can do is to change your own thinking when it comes to money when you are in debt even the price tag has a price tag,0.0
if you havent yet discovered the simplistic beauty of filing your taxes online let me tell you youre missing out you plug numbers into an app and the app makes math happen and then youre done,0.0
ninetynine percent of personal finance can be summarized in nine words work a lot spend a little invest the difference master that and the other 2999 billion words are filler,0.0
according to the irs about 28 percent of taxpayers wait until these last weeks to prepare their taxes if youre among those that procrastinated this year here are six reasons to file your taxes before the april 15th tax deadline,0.0
after all selfinterest drives everybodys behavior to some extent the problem however arises when a financial advisors selfinterest conflicts with yours,0.0
theres simply no getting around it poor credit scores make life more expensive,0.0
using information released by the white house and the per capita personal income of 42693 according to bureau of business and economic research gobankingrates calculated how the average americans 2013 federal income tax bill breaks down,0.0
you can use the same payment method that you use to make your scheduled payment just bear in mind that the relevant date is when the payment is credited by the lender not the date when you sent it,0.0
spring cleaning your finances means first taking a bigpicture look at your financial health and then clearing out the cobwebs that muck up your monthly budget,0.0
how does starting at age 62 66 or 70 impact your retirement income as you figure out when to start social security here are five key questions to consider,0.0
if you have a credit or debt question youd like to ask just click here and ask away the plain language of the fdcpa prohibits,0.0
knowing the difference between a credit score and credit report can help you make the right financial decision when it comes to applying for lines of credit and can also help you get better interest rates on loans,0.0
no credit history means no credit score and no credit score makes lenders hesitant to give you even small amounts of credit so how does anyone get credit in the first place,0.0
investors over the years have told me that they have it all worked out ive got a will a trust and spoke to an attorney often those instructions were done years ago sometimes decades ago,0.0
i believe this will spur economic growth without increasing debt because us notes can be printed and spent into circulation,0.0
to the land of way beyond beyond banking and beyond receipts there is also a growing trend towards alternative payment,0.0
its almost that time again  where do you put your hardearned money from the federal government what would the satc women do,0.0
just imagine if the salesperson told you what was really going to happen normally this dress is 250 but were having a,0.0
dont avoid the elephant in the room address your bad credit frankly and honestly,0.0
someone who uses an outofnetwork atm five times per month is looking at a monthly expense around 20 to 25 or 240 to 300 per year,0.0
you want to make sure youre paying down your debt as quickly as possible first pay at least the minimum amount due and pay it on time each month,0.0
its also important to communicate with your spouse are you both fully aware of your financial situation is your spouse,0.0
you made one statement that concerned me when you said loan forgiveness is only available for graduates thats actually,0.0
before you swipe these two tricks carry more risk than paying via direct deposit or a check in fact i would only consider,0.0
paying for college is costly  but there are some tax benefits that can help parents who are footing the bill or students who are independent,0.0
