,text
0,video i was in my office i was minding my own business david solomon tells gs interns how he learned he wa 
1,the price of lumber lbf is down since hitting its ytd highs the macys m turnaround is still happening 
3,barry silbert is extremely optimistic on bitcoin but predicts that of new crypto entrants are going to zero 
4,how satellites avoid attacks and space junk while circling the earth paid 
5, s david butlers favorite fang stock isnt realmoneysod alphabet but facebook 
6,don t miss my convo with one of my favorite thinkers 
8,senate wants emergency alerts to go out through netflix spotify etc by 
9,hedge fund manager marc larsy says bitcoin k is possible 
10,us proposes expedited appeal in fight with atampt over time warner purchase 
11,roger federers uniqlo deal makes him one of the few athletes to earn more than m from endorsements 
12,bond traders are ahead of jerome powell when it comes to inflation expectations via 
14,customers urge boycott of mgm resorts after the casino files lawsuits against mass shooting victims 
15,the gap tightens in the race to a trillion dollar valuation as amazon hits billion via 
16,president trump endorses brian kemp over casey cagle in georgia governor s race 
18,lakers guard hart named summer league mvp and more us sports headlines 
19,only two northern white rhinos still exist making it the worlds most endangered subspecies of mammal 
20,trump tells cbs hes always wanted to be interviewed by special counsel mueller but deflected questions on whethe 
21,templeton and blackrock say nows the time to buy emerging markets 
22,charts say realmoneysod googl could rise or more from here 
23,ebay revenue misses as weak us sporting season hits stubhub 
24,new york city will force airbnb to disclose information on its hosts 
25,rt exclusive elon musk called sierra clubs executive director saturday and asked for some help via twitter the green gr 
26,new time janet yellen and i in conversation at brookings on feb at pm est join us online or on facebook liv 
27,the robot homie r d told me to buy sell and hold fidelity national information services fis bullmarket
28,arthur j gallagher amp co ajg vs marsh amp mclennan companies mmc critical contrast 
29,arthur j gallagher amp co ajg vs marsh amp mclennan companies mmc critical contrast 
30,info c asia stocks signal gains dollar weakness watched markets wrap via 
31,rt fluor co new flr stock rating upgraded by zacks investment research 
33,whats shaking guys inflation amp bank earnings are some of your market shakers this week 
36,rt whats shaking guys inflation amp bank earnings are some of your market shakers this week pep fst 
44,analysts expect mosaic co mos will announce earnings of per share 
45, billion in sales expected for mosaic co mos this quarter 
46,in days i doubled my account with the option trades from winners nojoke xrx mrtx 
47,ni high oi range is to for option expiration maxpain options 
48,rt amg amgchain will be delisted from tradesatoshi the devs reset the blockchain and did not inform us causing lo 
49,payments halted under obamacare program unh aet antm ci hum wcg cnc moh 
50,rt theres goes sode breaking things again at least theyre getting paid to fix it acm aegn agx bflbf bld dy em 
52,rt theres goes sode breaking things again at least theyre getting paid to fix it acm aegn agx bflbf bld dy em 
53,short sale volume not short interest for ijr on is sens dvn xly odp 
54,coo high oi range is to for option expiration maxpain options 
55,rt theres goes sode breaking things again at least theyre getting paid to fix it acm aegn agx bflbf bld dy em 
56,snps had hired more while rival cdns had reduced headcount 
57,info pep five things you need to know to start your day via 
61,rt whats shaking guys inflation amp bank earnings are some of your market shakers this week pep fst 
62,rt ajg ceo bought k in stock may be one to follow always been a preferred play of mine in this group sitting right on 
67,rt mtts weekly watchlist for july th cxo hp rspp 
69,inside wk scan akam amat axp ba blue box bzun c cat cmcsa csco dbx dis de docu dltr ebay fdx 
71,rt inside wk scan akam amat axp ba blue box bzun c cat cmcsa csco dbx dis de docu dltr ebay fdx feye fs 
73,short sale vol not short interest for cyh on is thc sem ssy hca 
74,rt theres goes sode breaking things again at least theyre getting paid to fix it acm aegn agx bflbf bld dy em 
75,finisar co fnsr expected to announce quarterly sales of million 
76,finisar co fnsr expected to post quarterly sales of million 
77,possible plays sgmo txmd abus vktx ecyt vstm sgyp trvn nvax opk ocul gern vrx tsro akao let s see what i pick follow 
78,rt spy options flow alerts eem arry cars jd bll v cazr bx vips opk bac wfc xop jw 
79,rt inside wk scan akam amat axp ba blue box bzun c cat cmcsa csco dbx dis de docu dltr ebay fdx feye fs 
80,buying in options land on friday qsr igt skx voya fcx nvo pxd vips vvv sgms pii etfc bll gpro 
81,short sale volumenot short interest for wu on is fis ma mgi wex 
82,weekly recap hsy price moved since post next stop other trades included aa spy baba mdso ayi fb sh 
83,anss high oi range is to for option expiration maxpain options 
84,rt whats shaking guys inflation amp bank earnings are some of your market shakers this week pep fst 
85,monday s watch amzn googl fb aapl amd bidu baba btcx ethx biib celg gild intc jd arql arry arwr 
87,rt monday s watch amzn googl fb aapl amd bidu baba btcx ethx biib celg gild intc jd arql arry arwr endp 
88,short sale vol not short interest for amat on is lrcx snps ter klac 
89,rt theres goes sode breaking things again at least theyre getting paid to fix it acm aegn agx bflbf bld dy em 
92,rt my watch list for tomorrow fb aapl ba nvda baba el same as always when you learn and tune in to a small hand full of 
93,reverse merger tweet qqq aapl tvix veon csco siri rook mu msft fb sqqq intc cmcsa amat nvda sgmo 
94,swing trading watchlist this week chart candleglance ipgp vrns anet mdb tif olli expd ea kmg hd 
95,reverse merger tweet pten nwl tjx epd tbt ne tal spxs mxim well mmm src csx kbr mhk odp mhk src 
96,rt theres goes sode breaking things again at least theyre getting paid to fix it acm aegn agx bflbf bld dy em 
97,rt reverse merger tweet pten nwl tjx epd tbt ne tal spxs mxim well mmm src csx kbr mhk odp mhk src pep 
98, billion in sales expected for jacobs engineering group inc jec this quarter 
100,short sale volumenot short interest for d on is aee cms exc sre 
101,ajg arthur j gallagher amp co acquires milne alexander from our stock news alerts app
102,a portfolio for abg algn ba dltr htht kors nsp spy uri 
103,zacks brokerages anticipate aon plc aon will post quarterly sales of billion 
104,contrasting miragen therapeutics mgen amp laboratory corp of america lh 
105,aan aapl abbv adm afl alle am amgp amp amt andx aon aos apd apog aqn avgo ay bac bam bep bip 
106,apartment investment and management s aiv hold rating reiterated at bmo capital markets 
107,everest re group re and heritage insurance hrtg critical contrast 
108,ar cgc dave gnc hsy icon kmb m pep pg rrc smrt wtw 
109,rt ar cgc dave gnc hsy icon kmb m pep pg rrc smrt wtw 
110,the western union wu stock rating upgraded by zacks investment research 
111,the western union wu stock rating upgraded by zacks investment research 
115,ch robinson worldwide chrw versus expeditors international of washington expd headtohead analysis 
116,critical survey ch robinson worldwide chrw and expeditors international of washington expd 
117,affiliated managers group amg versus pjt partners pjt critical analysis 
120,advance auto parts aap rating increased to buy at valuengine 
121,rt seekingalpha bwp ns smlp mmp bpl bkep ceqp nsh pagp oke semg tge enb ipplf ppl key bip too 
122,rt seekingalpha abg algn ba dltr htht kors nsp spy uri 
123,rt seekingalpha aan aapl abbv adm afl alle am amgp amp amt andx aon aos apd apog aqn avgo ay 
124,rt seekingalpha ar cgc dave gnc hsy icon kmb m pep pg rrc smrt wtw 
127,aon excellent infrastructure and ground conditions confirmed at historical salau tungsten mine 
128,rt trueblue tech plays plus a tooth tech play and all look undervalued ibm mu xray 
129,head to head review mettlertoledo international mtd amp fluidigm fldm 
132,rt aon excellent infrastructure and ground conditions confirmed at historical salau tungsten mine 
135,aon provide yet more compelling evidence that salau is one of the highest quality tungsten mines 
137,rt our goal is maximum efficiency with minimal side effects prof dr ulrich schneider irm health blockchain bitcoi 
138,laboratory corp of america lh versus invitae nvta critical contrast 
139,comparing ch robinson worldwide chrw amp expeditors international of washington expd 
140,wells fargo amp co analysts give slm slm a price target 
141,slm slm pt set at by wells fargo amp co 
144,btw estimated earnings per share for ip is its of the current price 
146,rt emn eminent token fuel for beepbeep nation a decentralized helping economy on a mobile application you can get a ri 
147,rt the emn eminent token which fuels the beepbeep nation app will be available for purchase on wednesday june th re 
152,aon apollo minerals confirms excellent infrastructure and ground conditions at salau mine 
153,akamai technologies inc akam director naomi o seligman sells shares 
154,scan results crossed above dma today clf ppe ddr igo mfg ilu gvf cdm 
155,scan results macd bullish signal line cross today fgx nwl ddr sbm arg ilu abc shl 
157,royal bank of canada increases oneok oke price target to 
161,brokerages anticipate gentex co gntx will post quarterly sales of million 
166,mt flr team selected for canadianus gordie howe bridge project 
169,short sale vol not short interest for odp on is key brzu xly amc 
173,analysts set midamerica apartment communities inc maa target price at 
177, million in sales expected for hibbett sports inc hibb this quarter 
178, billion in sales expected for jacobs engineering group inc jec this quarter 
180,slm corp slm expected to announce earnings of per share 
181,everest re group re and heritage insurance hrtg critical contrast 
182,insider selling ihs markit info director sells shares of stock 
183,were analysts bearish expeditors international of washington inc expd this week 
185,can analysts adopt a bullish outlook for expeditors international of washington inc expd 
186,discussion stirs around expeditors international of washington inc expd this week here is what analysts are say 
187,ar cgc dave gnc hsy icon kmb m pep pg rrc smrt wtw 
188,bwp ns smlp mmp bpl bkep ceqp nsh pagp oke semg tge enb ipplf ppl key bip too bbu 
189,irm ironmountain iron mountain begins construction on phoenix data center campus expansion from our stock news alerts app
190,wondering about sentiment indicator for avy the short ratio is 
191,rt vaultitude is a project all about making use of blockchain technology to protect intellectual property our ico is coming 
192,aee high oi range is to for option expiration maxpain options 
197, eps expected for platform specialty products corp pah this quarter 
198,international paper ip rating increased to buy at wells fargo amp co 
200,reviewing laboratory corp of america lh and miragen therapeutics mgen 
201,popular opk amd adbe iots feye xlu fxa mmm omer fbhs tcbk avy sncr mdrx pfpt prgo web ecpg amph
203,are analysts bullish wyndham worldwide corporation wyn after last week 
204,wyndham worldwide corporation wyn has analysts on the bullish side this week 
205, eps expected for platform specialty products corp pah this quarter 
206,amg high oi range is to for option expiration maxpain options 
210,rt are analysts bullish wyndham worldwide corporation wyn after last week 
214,hrs high oi range is to for option expiration maxpain options 
225,brokerages anticipate ecolab inc ecl will announce earnings of per share 
