,sentiment,text
0,0,according to gran the company has no plans to move all production to russia although that is where the company is growing 
1,0,technopolis plans to develop in stages an area of no less than square meters in order to host companies working in computer technologies and telecommunications the statement said 
2,-1,the international electronic industry company elcoteq has laid off tens of employees from its tallinn facility contrary to earlier layoffs the company contracted the ranks of its office workers the daily postimees reported 
3,1,with the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability 
4,1,according to the company s updated strategy for the years basware targets a longterm net sales growth in the range of with an operating profit margin of of net sales 
5,1,financing of aspocomp s growth aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding hdi printed circuit boards pcbs 
6,1,for the last quarter of componenta s net sales doubled to eur m from eur m for the same period a year earlier while it moved to a zero pretax profit from a pretax loss of eur m 
7,1,in the third quarter of net sales increased by to eur mn and operating profit by to eur mn 
8,1,operating profit rose to eur mn from eur mn in the corresponding period in representing of net sales 
9,1,operating profit totalled eur mn up from eur mn in representing of net sales 
10,1,teliasonera tlsn said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen eesti telekom s offering to its customers 
11,1,stora enso norske skog mreal upmkymmene credit suisse first boston cfsb raised the fair value for shares in four of the largest nordic forestry groups 
12,1,a purchase agreement for tons of gasoline with delivery at the hamina terminal finland was signed with neste oil oyj at the average platts index for this september plus eight us dollars per month 
13,1,finnish talentum reports its operating profit increased to eur mn in from eur mn in and net sales totaled eur mn up from eur mn 
14,1,clothing retail chain seppælæ s sales increased by to eur mn and operating profit rose to eur mn from eur mn in 
15,1,consolidated net sales increased to reach eur m while operating profit amounted to eur m compared to a loss of eur m in the prior year period 
16,1,foundries division reports its sales increased by to eur mn from eur mn in the corresponding period in and sales of the machine shop division increased by to eur mn from eur mn in the corresponding period in 
17,1,helsinki afx shares closed higher led by nokia after it announced plans to team up with sanyo to manufacture g handsets and by nokian tyres after its fourthquarter earnings report beat analysts expectations dealers said 
18,1,incap contract manufacturing services pvt ltd a subsidiary of incap corporation of finland plans to double its revenues by 
19,1,its board of directors will propose a dividend of eur per share for up from the eur per share paid in 
20,1,lifetree was founded in and its revenues have risen on an average by with margins in late s 
21,1, filippova a trilateral agreement on investment in the construction of a technology park in st petersburg was to have been signed in the course of the forum days of the russian economy that opened in helsinki today 
22,1,megafon s subscriber base increased in to million users as of december while its market share by the number of customers amounted to as of late up from as of late according to teliasonera estimates 
23,1,net income from life insurance doubled to eur mn from eur mn and net income from nonlife insurance rose to eur mn from eur mn in the corresponding period in 
24,1,net sales increased to eur m from eur m and pretax profit rose by to eur m eur usd 
25,1,net sales surged by to eur m teleste said that eur m or of the sales came from the acquisitions made in 
26,1,nordea group s operating profit increased in by percent yearonyear to billion euros and total revenue by percent to billion euros 
27,1,operating profit for the ninemonth period increased from eur m while net sales increased from eur m as compared to the corresponding period in 
28,1,operating profit for the ninemonth period increased from eur m and net sales increased from eur m as compared to the corresponding period in 
29,1,operating profit for the threemonth period increased from eur m while revenue increased from eur m as compared to the corresponding period in 
30,1,the brazilian unit of finnish security solutions provider fsecure signed up new clients last year online news source reseller web quoted the division s commercial director vladimir brando as saying 
31,1,the company s net profit rose on the year to million euros in on sales of million euros up on the year the company said earlier 
32,1,the lithuanian beer market made up million liters in january a rise of percent from the yearearlier figure the lithuanian brewers association reporting citing the results from its members 
33,1,viking line s cargo revenue increased by to eur mn and cargo volume increased by to cargo units 
34,1,the fair value of the property portfolio doubled as a result of the kapiteeli acquisition and totalled eur million 
35,1, february finnish media company sanoma oyj hel saa v said yesterday its net profit almost tripled to eur m from eur m for and announced a proposal for a raised payout 
36,1,a helsinki eliiv today reported eps of eur for an increase over eps of eur in 
37,1,aspo plc stock exchange release february at am esl shipping ltd part of aspo group has signed a new longterm contract with rautaruukki corporation for the marine transport of raw materials on the baltic sea 
38,1,commission income increased by to eur mn and lending volume rose by 
39,1,in january traffic measured in revenue passenger kilometres rpk went up by and capacity measured in available seat kilometres ask rose by 
40,1,in januaryseptember fiskars net profit went up by yearonyear to eur million and net sales to eur million from eur million 
41,1,net income from life insurance rose to eur mn from eur mn and net income from nonlife insurance to eur mn from eur mn in 
42,1,nyrstar has also agreed to supply to talvivaara up to tonnes of sulphuric acid per annum for use in talvivaara s leaching process during the period of supply of the zinc in concentrate 
43,1,sales for both the department store division and hobby hall increased by while sales for the clothing store subsidiary seppala decreased by 
44,1,sales have risen in other export markets 
45,1,sales increased due to growing market rates and increased operations 
46,1,the agreement strengthens our longterm partnership with nokia siemens networks 
47,1,the agreement was signed with biohit healthcare ltd the ukbased subsidiary of biohit oyj a finnish public company which develops manufactures and markets liquid handling products and diagnostic test systems 
48,1,the company also estimates the already carried out investments to lead to an increase in its net sales for from when they reached eur million 
49,1,the company s order book stood at bln euro bln on september up by pct on the year with international orders amounting to mln euro mln 
50,1,the company said that paper demand increased in all of its main markets including of publication papers and that it increased average paper prices by percent compared with last year 
51,1,the world s second largest stainless steel maker said net profit in the threemonth period until dec surged to euro million us million or euro us per share from euro million or euro per share the previous year 
52,1,within the framework of the partnership nokia siemens networks has signed an initial framework purchase agreement with sitronics subsidiary jsc mikron which is the largest manufacturer and exporter of microelectronic components in russia 
53,1,seppala s revenue increased by to eur m in finland revenue went down by to eur m while sales abroad rose by to eur m sales increased in all the baltic countries as well as in russia and ukraine 
54,1,shares of standard chartered stan rose in the ftse while royal bank of scotland rbs shares rose and barclays shares barc bcs were up 
55,1,shares of nokia corp rose thursday after the cell phone maker said its thirdquarter earnings almost doubled and its share of the global handset market increased 
56,1,in its financial report published on friday seb said its net profit soared to sek bn in from a yearearlier sek bn and proposed a dividend increase to sek per share 
57,1,sales for the department store division increased by and sales for the clothing store subsidiary seppala increased by meanwhile sales for hobby hall decreased by 
58,0,at the request of finnish media company alma media s newspapers research manager jari kaivooja at the finland futures research centre at the turku school of economics has drawn up a future scenario for finland s national economy by using a model developed by the university of denver 
59,0,in sweden gallerix accumulated sek denominated sales were down and eur denominated sales were up 
60,0,the company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production 
61,0,when this investment is in place atria plans to expand into the moscow market 
62,0, the new agreement is a continuation to theagreement signed earlier this year with the lemminkainen group whereby cramo acquired the entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo and signed asimilar agreement said tatu hauhio managing director ofcramo finland 
63,1,at first the contract envisaged the construction of three ferryboats with an option for two more units further confirmed at a total value of mln euro mln 
64,0,in june it sold a percent stake to nordstjernan and the investment group has now taken up the option to acquire eqt s remaining shares 
65,1,kesko corporation stock exchange release at kesko corporation and aspo plc today signed an agreement by which aspo acquires the share capital of kaukotelko ltd a subsidiary wholly owned by kesko 
66,1,sponda plc stock exchange release december at eur billion syndicated credit facility for sponda sponda has signed an agreement for a oneyear syndicated credit facility for a total of eur billion 
67,0,stock exchange announcement july basware share subscriptions with warrants and increase in share capital a total of shares have been subscribed with basware warrant program 
68,1,the contract covers hdo platform ac and cxe optical fttb nodes designed to increase the forward and return path capacity of the transmission networks 
69,0,the new plant is planned to have an electricity generation capacity of up to megawatts mw and the same heat generation capacity 
70,1,the omx helsinki index was up pct at and the helsinki cap portfolio index was pct higher at 
71,0, so the sales growth of cars considerably influence on the tires market 
72,0,a maximum of new shares can further be subscribed for by exercising b options under the stock option plan 
73,0,as a result of the share issue the number of the company s shares increases by shares and the share capital by a total of eur 
74,0,finnish real estate investor sponda plc said on wednesday march that it has signed agreements with danske bank as helsinki branch for a year eur m credit facility and with ilmarinen mutual pension insurance company for a year eur m credit facility 
75,0,on the route between helsinki in finland and tallinn in estonia cargo volumes increased by while cargo volumes between finland and sweden fell by 
76,0,other measures included increasing synergies and economies of scale within the grimaldi group and personnel adjustments divestments and redelivery of excess tonnage 
77,1,rinkuskiai raised the sales by percent to million liters while the sales of kauno alus grew by percent to liters 
78,0,telecomworldwire april tj group plc sells stake in morning digital design oy finnish it company tj group plc said on friday april that it had signed an agreement on selling its shares of morning digital design oy to edita oyj 
79,1,telecomworldwire april tj group plc sells stake in morning digital design oy finnish it company tj group plc said on friday april that it had signed an agreement on selling its shares of morning digital design oy to edita oyj 
80,0,the new series a shares will become subject to trading on the helsinki stock exchange s main list together with the old series a shares on july 
81,0,the fuel purchase contracts have been signed with three months delivery from this september to november 
82,0,tiimari operates stores in six countries including its core finnish market and generated a turnover of mln eur in 
83,1,under this agreement biohit becomes a focus supplier of pipettors and disposable pipettor tips to vwr customers throughout europe 
84,1,the combination of all services enabling us to offer a complex and strengthened service chain not only limited to the baltic port connections but also for getting access to the world wide grimaldi network into the mediterranean africa and north america says uwe bakosch 
85,0,no blindspots coming from vantage point allows investigators to see the whole story in high resolution with no unbroken video 
86,1,the company still expects its turnover in to slightly increase from the level of adding that market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year 
87,1,the acquisition will considerably increase kemira s sales and market position in the russian metal industry coatings market 
88,1,in januaryseptember finnlines net sales rose to eur mn from eur mn in the corresponding period in 
89,1,adjusted for changes in the group structure the division s net sales increased by 
90,1, the change will optimize the operational efficiencies of our growing business said julia prohaska director of marketing communications for fiskars 
91,1, they would invest not only in the physical infrastructure but would also provide knowhow for managing and developing science and technology parks said sunrise valley director andrius bagdonas 
92,1, february finnish broadband data communication systems provider teleste oyj hel tlt v saw its net profit jump to eur m for the last quarter of from eur for the same period of 
93,1,finnish aktia group s operating profit rose to eur mn in the first quarter of from eur mn in the first quarter of 
94,1,finnish bank of land s consolidated net operating profit increased from eur mn in the first quarter of to eur mn in the first quarter of 
95,1,finnish financial group aktia reports operating profit of eur mn in januaryseptember up from eur mn in the corresponding period in 
96,1,finnish high technology provider vaahto group reports net sales of eur mn in the accounting period september february an increase of from a year earlier 
97,1,net sales of finnish food industry company lænnen tehtaat s continuing operations increased by in to eur mn from eur mn in 
98,1,an individual promotion also generated slightly higherthanexpected revenues 
99,1,biohit already services many current genesis customers and the customer base is expected to expand as a result of this agreement 
100,1,both operating profit and turnover for the threemonth period increased respectively from eur m and eur m as compared to the corresponding period in 
101,1,circulation revenue has increased by in finland and in sweden in 
102,1,clothing chain seppælæ s net sales increased by to eur mn 
103,1,construction volumes meanwhile grow at a rate of percent annually 
104,1,finnish and swedish construction markets are still experiencing an estimated annual growth in 
105,1,however biohit estimates its total net sales will continue to grow in and that favourable trends in net sales will lead to a profit in 
106,1,in fiskars cash flow from operating activities amounted to eur m up from eur m in the previous year 
107,1,in lithuania operating profit rose to eur from eur in the corresponding period in 
108,1,in the fourth quarter of net sales increased by to eur mn from eur mn in the fourth quarter of 
109,1,international sales rose by to eur mn 
110,0,kalmar espana generated net sales of some mln euro mln in 
111,1,net sales grew in the period to x ac million us million from x ac million in 
112,1,net sales increased to eur m in april to june from eur m a year earlier 
113,1,net sales rose by yearonyear to eur m as the number of chargers delivered went up by to million pieces 
114,1,net sales totaled eur mn up from eur mn in the corresponding period in 
115,1,nokia also noted the average selling price of handsets declined during the period though its mobile phone profit margin rose to more than percent from percent in the yearago quarter 
116,1,operating profit increased by to eur mn from eur mn 
117,1,operating profit margin increased from to 
118,1,operating profit rose to eur mn from eur mn in the corresponding period in 
119,1,operating profit rose to eur mn from eur mn in the fourth quarter of 
120,1,operating profit was eur mn up from eur mn 
121,1,ramirent s net sales in the second quarterended june were euro million about us million a percent increase compared with euro million for thesecond quarter last year 
122,1,revenue grew by percent to x ac million million from x ac million 
123,1,ruukki announced that it has signed an agreement with aker solutions of norway to supply suction anchors in september from its kalajoki unit in finland 
124,1,ruukki s delivery volumes and selling prices showed favourable development and the company s comparable net sales grew by yearonyear to eur m ceo sakari tamminen said 
125,1,sanoma magazines net sales are estimated to grow in 
126,1,the bank forecasts finland s gdp will grow by in and in 
127,1,the circuit s overall production rate on a weekly basis is now in excess of an average of tonnes per day with volumes in excess of tonnes per day being reached on individual days 
128,1,the company s consolidated operating profit amounted to eur mn up from eur mn yearonyear 
129,1,the department store division reported an increase in sales of per cent 
130,1,the fair value of the company s investment properties grew to eur billion at the end of march from eur million a year ago 
131,1,the last quarter was the best quarter of in net sales and the operating margin rose to 
132,1,the major breweries increased their domestic beer sales by per cent last year to million litres from million litres in 
133,1,the transaction doubles tecnomens workforse and adds a fourth to their net sales 
134,1, operating profit rose by to eur million 
135,1, after this purchase cramo will become the second largest rental services provider in the latvian market 
